new_names;cv_mean_1;cv_mean_2;letter_mean_1;letter_mean_2;pres_mean_1;pres_mean_2;pres_class_1;pres_class_2;video_points_1;video_points_2;all_points_1;all_points_2
Martin Slobodník;1,5;2;1;0,75;0;0;0;0;;;10;11
Anemona Barbu;2;2;5;4,75;0;0;0;0;;0;28;27
Daciana Manole;3,25;3,25;2,25;2,5;10;10;3;3;20;20;82;83
Heracleea Nistor;3,25;2,5;0,75;1,25;9,25;8,75;2;2;20;20;73;70
Oda Wohlgemut;3,25;3,75;3,75;4;5;5,5;3;3;20;20;68;73
Silvia Florea;4;4;4,5;4,5;9,25;9,25;2;2;20;20;91;91
Dursun Peukert;4;4,25;4;3,5;9,25;9,25;2;2;;;69;68
Karlheinz Etzler;2;2,5;2;2;9,5;8,25;1;1;20;20;74;71
Pirmin Eberhardt;3,25;3,25;4,5;4,5;9,25;9,25;2;2;15;15;83;83
Carla Ladeck;2,5;3;2;2,25;5;4,75;2;2;;;38;40
Prof. Ole Mans;4,5;5;5;4,25;8,25;7,75;2;2;15;18;86;86
Eremia Preda;4;4;4;5;9;8;2;2;20;20;88;88
Ondrej Jakubčo;4,5;4,5;4,5;4,5;8,75;8,25;2;2;;;71;69
Felicia Ardelean;4;4,25;4,5;3,25;9,5;4;2;2;;;72;46
Natalja Kuhl .;3,25;3,25;2,75;3,25;8,25;7,75;2;2;20;20;77;77
Aleodor Oprea;3,25;3,25;3,75;3,25;10;10;1;1;15;15;83;81
Jozef Novota;3,5;3,25;5;3,75;4,25;4,5;2;2;20;20;71;66
Bohuslav Borovský;4,5;4,5;5;5;8,75;8;2;2;;;73;70
Stana Popescu;4,5;3,25;4;4,25;10;9,5;2;2;20;20;94;88
Maurice Löchel;3,5;3,5;2,5;1,5;4;2,25;1;1;20;20;60;49
Dáša Rómová;3,25;3,75;5;5;8,75;8;2;2;10;10;78;77
Nataša Mareková;2;2;5;3,25;5;4,5;2;2;;;48;39
Radoslav Moravčík;3,5;2,75;3,5;2,75;9,25;8,25;2;2;;;65;55
Cristian Cristea;4,5;4,5;5;5;8,25;7,25;2;2;20;20;91;87
Nae Stancu;4,5;4;5;5;9,25;8,5;2;2;;;75;70
Valentina Toma;3,75;3,75;4;4,25;9,25;9,25;2;2;20;20;88;89
Hortensia Eftimie;5;3,75;5;4,25;9,25;8,5;2;2;15;15;92;81
Valéria Markovičová;2,75;2,25;3,75;3,75;7,75;7,25;2;2;0;0;57;53
Simona Hricová;3,75;4,5;3,25;3,25;9,25;9,25;1;1;;;65;68
Hermína Hečková;2,75;3;3,75;3,75;6,75;6;2;2;0;0;53;51
Ofelia Mazilescu;3,25;3,25;5;5;9,25;9,25;2;2;20;18;90;88
Rahel Misicher;2,5;2,5;2,5;1,75;7;6;2;2;;;48;41
Fiona Barbu;3,5;2,75;4,5;2,5;7,5;7;2;2;;;62;49
Valentína Babjaková;3,25;3,25;5;5;10;10;1;1;15;15;88;88
Rafila Eftimie;5;5;5;5;10;10;1;1;20;20;100;100
Magdaléna Kučerová;4;3,5;3,75;3,25;5;5;2;2;;;51;47
Lelia Tabacu;5;4,5;3,75;4,5;10;9,25;2;2;;;75;73
Hildburg Beer;5;4,25;5;4,5;10;5,25;2;2;;;80;56
Bernard Hroboň;2;3,25;2,5;2,25;9,25;7,75;2;2;20;18;75;71
Emanuela Stan;4;3,75;4,5;1,75;8,25;2,75;2;2;;;67;33
Eileen Ullrich MBA.;3,25;3,75;2,75;3,75;9,25;9,25;2;2;20;20;81;87
Dipl.-Ing. Hakan Weinhage .;4,5;1,75;4,25;3,25;9,25;8,25;2;2;;;72;53
Melina Oprea;3,75;3,75;5;5;10;10;2;2;20;20;95;95
Cord Rädel;4,5;4,5;5;5;10;10;1;1;20;20;98;98
Elisa Ryšková;3,75;3,75;4,5;3,75;9,25;9,25;2;2;0;0;70;67
Gheorghiță Albu;3,25;4,5;5;5;9,25;8;2;2;;;70;70
Kliment Samuel;3,25;3,25;3,75;5;8,5;8;2;2;20;20;82;85
Ľubor Franko CSc.;3,25;3,25;5;5;10;9,5;2;2;20;20;93;91
Ing. Petros Kusch .;2,5;2,75;3,75;2,25;10;8,5;1;1;20;20;85;74
Herr Vitus Müller .;3,25;3,25;3,75;3,75;7,5;7,75;1;1;;;58;59
Alfonz Krajčí;0,75;0,75;1;1,25;0;0;0;0;;;7;8
Vanesa Chrappová;4,5;4,5;3,75;1,75;6,75;7,25;2;2;15;15;75;69
Niko Franke .;4;5;3,5;4,25;8,25;9,5;1;1;15;15;78;90
Univ.Prof. Isabell Stoll .;3,5;3,75;4;4,5;8,25;9,5;2;2;15;15;78;86
Bohuslav Maďár;3,25;2,75;2,75;4,75;8,5;9,25;2;2;20;20;78;87
Frau Leonie Schleich B.Sc.;2,5;2;3,75;3,5;9,25;0;1;1;0;0;62;22
Darko Tschentscher-Heser;3;3;2,75;3,75;7;8,75;1;1;10;10;61;82
Marius Hölzenbecher-Reinhardt;4;3,5;4;4,5;8;8;2;2;20;20;84;84
Alexander Michalica;2;3;1,5;2;0;5;0;0;;20;14;65
Artemisa Pușcașu;4,25;3,75;5;4,25;8,75;7,75;2;2;;0;72;63
Sofia Slováková;3,25;3,25;4,75;4,75;9,5;9,5;2;2;20;20;90;90
Nidia Eftimie;0;2;0;3,5;0;6,75;0;0;;0;0;58
Ludolf Hečko;3,5;3,25;3,75;4,5;9,25;9,25;2;2;5;5;71;73
Adolf Spieß .;2,75;3;5;4,5;7,5;8;2;2;20;20;81;82
 Gilda Ullrich;4,25;4,25;4,5;4,75;9;9,25;2;2;15;15;86;88
Aida Ardelean;3,25;3,5;4,5;4,75;8,5;8,25;2;2;10;15;75;81
Adam Wieloch;4;3,5;3,25;4,25;5,75;6,25;3;3;20;20;72;76
Frau Silja Gotthard .;2,75;2,5;3,75;3,25;8;7,5;2;2;;0;58;53
Almuth Dowerg;2,75;2;3,5;4;6;5,5;2;2;;0;49;46
Ľudovít Ondrusek;1,25;1,75;2,5;2,75;0;4,75;0;0;;20;15;57
Olympia Menšíková;1,75;3,5;3,75;3,75;9;8,5;2;2;20;20;78;83
Ionelia Popescu;3,25;3,75;4,5;4,25;10;9,5;2;2;20;20;91;90
Vincent Malina;3,25;3,5;2,75;3,75;6,25;7,25;2;2;;0;49;58
Lucrețiu Dinu;2,5;2,75;4,25;3,75;7,75;8;1;1;;0;58;68
Ferdinand Drub B.Eng.;2,75;2,75;4,25;4,25;8,25;7,75;2;2;20;20;81;79
Ivona Barbu;3,25;3,25;4;4,75;8,5;8,25;2;2;20;20;83;85
Dafina Pop;3,25;3,5;4,25;4;6,25;7;2;2;15;15;70;73
Adrián Labuda;3,25;2,5;4,25;4,25;7,5;7,25;2;2;20;20;80;76
Augusta Barkholz;2,25;2;4,25;4;7,25;7,75;1;1;15;20;70;82
Liesa Bohlander-Eberth;2,25;2,5;2;3,75;9;8,5;1;1;20;20;73;87
Rouven Patberg;3,25;3;5;4,75;7,25;7,5;2;2;;0;62;61
Steliana Tabacu;3,25;3,25;4;5;7,75;8,75;1;1;20;20;80;94
Jaroslava Pavlíčeková;3,75;3,25;4,75;4,75;8,75;8,75;2;2;15;15;84;82
Vlad Barbu;2,5;2,75;3,25;4,25;6,75;7;2;2;10;10;60;66
Frau Dorothee Stoll B.Sc.;3,25;3,25;5;4,5;8,75;8,75;2;2;20;20;88;86
Bohuslava Tomečeková;4,5;4,75;3,5;4,25;7,75;7,75;2;2;;0;63;67
Tadeáš Kuska;3,25;3,75;4,5;5;7,25;0;3;3;;0;60;35
Zina Hošťáková;4,5;5;4,5;5;7,5;8,5;2;2;20;20;86;94
Blahoslav Holúbok;3,5;3,5;4,5;4,5;7,75;9,25;2;2;15;15;78;84
Melissa Schmiedt;2,75;2,5;3,5;3,5;8,5;0;1;1;0;0;59;24
Dagmara Janošeková;2;2;2,5;2,75;5,5;0;2;2;20;0;60;19
Eric Suciu;3,25;2,75;2;3,25;5,25;6,25;3;3;0;0;42;49
Silviu Tudor;1,25;1,5;3,25;3,5;6,5;0;2;2;0;0;44;20
Karina Martineková;3,5;3,25;4;4,25;5,75;8;2;2;20;20;73;82
